"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A950","2020-05-13 00:00:00","60.000","154.000","2.600","22.100","1.000","1008.300","","20.500","-99.000","-99.000","-99.000","22.100","","19.900",""
"C0F9L0","2020-05-13 00:00:00","253.000","30.000","1.700","24.100","0.870","982.700","","0.000","-99.000","-99.000","-99.000","27.900","","23.900",""
"C0R550","2020-05-13 00:00:00","38.000","46.000","1.600","24.900","0.990","1008.000","","0.000","-99.000","-99.000","-99.000","33.400","","24.900",""
"C0R790","2020-05-13 00:00:00","111.000","15.000","11.000","25.100","0.870","1000.400","","1.000","-99.000","-99.000","-99.000","35.100","","24.900",""
"C0V530","2020-05-13 00:00:00","34.000","48.000","0.900","24.700","1.000","1007.700","","0.500","-99.000","-99.000","-99.000","30.900","","24.700",""
"C0AI10","2020-05-13 00:00:00","76.000","0.000","0.000","20.500","0.970","1004.900","","12.000","-99.000","-99.000","-99.000","23.400","","20.500",""
"C0F9U0","2020-05-13 00:00:00","74.000","240.000","0.800","26.100","0.790","1002.900","","0.000","-99.000","-99.000","-99.000","30.400","","26.100",""
"C0R760","2020-05-13 00:00:00","336.000","16.000","7.300","22.600","0.960","975.200","","0.000","-99.000","-99.000","-99.000","30.300","","22.600",""
"C0V680","2020-05-13 00:00:00","40.000","0.000","0.200","26.200","0.850","1006.900","","1.000","-99.000","-99.000","-99.000","30.700","","26.100",""
"C0Z290","2020-05-13 00:00:00","946.000","337.000","1.100","17.700","0.990","910.800","","9.500","-99.000","-99.000","-99.000","24.200","","17.600",""
"CM0120","2020-05-13 00:00:00","4.000","36.000","1.500","25.700","0.800","1011.300","","0.000","-99.000","-99.000","-99.000","26.900","","25.400",""
"C0G760","2020-05-13 00:00:00","53.000","192.000","0.300","23.900","0.990","1007.900","","0.000","-99.000","-99.000","-99.000","28.500","","23.900",""
"C0K450","2020-05-13 00:00:00","35.000","154.000","0.600","24.100","0.870","1007.000","","0.000","-99.000","-99.000","-99.000","28.000","","24.000",""
"C0E820","2020-05-13 00:00:00","220.000","0.000","0.000","20.400","0.960","987.100","","6.000","-99.000","-99.000","-99.000","23.700","","20.400",""
"C0A530","2020-05-13 00:00:00","300.000","82.000","1.600","19.700","0.990","980.400","","8.500","-99.000","-99.000","-99.000","22.300","","19.100",""
"C0M520","2020-05-13 00:00:00","15.000","17.000","1.000","23.700","0.880","1009.500","","0.000","-99.000","-99.000","-99.000","29.600","","23.700",""
"C0K240","2020-05-13 00:00:00","1132.000","105.000","1.300","20.000","0.900","892.100","","11.500","-99.000","-99.000","-99.000","22.300","","18.600",""
"C0V210","2020-05-13 00:00:00","734.000","0.000","0.000","19.600","0.920","932.500","","6.500","-99.000","-99.000","-99.000","27.500","","19.600",""
"C0Z320","2020-05-13 00:00:00","646.000","0.000","0.000","18.600","1.000","942.800","","14.000","-99.000","-99.000","-99.000","30.200","","18.600",""
"C0R600","2020-05-13 00:00:00","766.000","284.000","0.700","22.200","0.980","927.300","","12.000","-99.000","-99.000","-99.000","27.500","","22.100",""
"C0C650","2020-05-13 00:00:00","208.000","62.000","0.500","20.000","0.860","989.000","","8.500","-99.000","-99.000","-99.000","22.600","","19.800",""
"C0F9I0","2020-05-13 00:00:00","194.000","350.000","3.000","22.700","0.940","989.100","","0.000","-99.000","-99.000","-99.000","26.800","","22.700",""
"C0T820","2020-05-13 00:00:00","550.000","0.000","0.000","20.400","0.900","956.800","","0.500","-99.000","-99.000","-99.000","29.500","","20.300",""
"C0S890","2020-05-13 00:00:00","238.000","10.000","2.700","22.000","0.920","990.400","","6.000","-99.000","-99.000","-99.000","30.400","","22.000",""
"C0G840","2020-05-13 00:00:00","32.000","0.000","0.000","23.500","0.950","1006.900","","0.000","-99.000","-99.000","-99.000","27.800","","23.300",""
"C0V710","2020-05-13 00:00:00","34.000","0.000","0.100","27.700","0.760","1007.600","","0.500","-99.000","-99.000","-99.000","29.700","","26.900",""
"C0X140","2020-05-13 00:00:00","17.000","347.000","0.400","25.000","0.880","1009.700","","1.000","-99.000","-99.000","-99.000","31.200","","24.800",""
"C0C680","2020-05-13 00:00:00","228.000","94.000","2.600","20.800","0.820","985.900","","6.000","-99.000","-99.000","-99.000","22.900","","20.300",""
"C0D360","2020-05-13 00:00:00","523.000","0.000","0.000","19.400","0.990","952.500","","23.500","-99.000","-99.000","-99.000","22.100","","19.400",""
"C0C710","2020-05-13 00:00:00","143.000","138.000","1.600","20.200","0.990","997.000","","26.500","-99.000","-99.000","-99.000","23.000","","20.000",""
"C0Z190","2020-05-13 00:00:00","62.000","325.000","0.700","23.100","0.990","1007.600","","3.000","-99.000","-99.000","-99.000","26.500","","22.700",""
"C0Z020","2020-05-13 00:00:00","211.000","34.000","2.300","21.100","0.990","989.900","","13.500","-99.000","-99.000","-99.000","29.800","","20.900",""
"C0I380","2020-05-13 00:00:00","258.000","103.000","2.900","23.600","0.890","981.500","","6.500","-99.000","-99.000","-99.000","27.500","","23.100",""
"C0D560","2020-05-13 00:00:00","147.000","36.000","2.100","21.200","0.880","995.900","","12.000","-99.000","-99.000","-99.000","24.400","","21.200",""
"C0Z220","2020-05-13 00:00:00","589.000","0.000","0.200","18.800","0.990","950.500","","8.000","-99.000","-99.000","-99.000","26.200","","18.800",""
"C0R220","2020-05-13 00:00:00","23.000","64.000","0.900","26.100","1.000","1009.300","","6.000","-99.000","-99.000","-99.000","32.400","","25.700",""
"C0A870","2020-05-13 00:00:00","685.000","92.000","7.400","17.700","1.000","935.500","","4.000","-99.000","-99.000","-99.000","20.900","","16.800",""
"C0V670","2020-05-13 00:00:00","20.000","12.000","1.700","26.100","0.840","1009.300","","1.500","-99.000","-99.000","-99.000","29.400","","26.100",""
"C0G770","2020-05-13 00:00:00","15.000","13.000","1.200","25.700","0.850","1009.800","","0.000","-99.000","-99.000","-99.000","28.200","","25.400",""
"C0C540","2020-05-13 00:00:00","46.000","79.000","2.900","22.800","0.750","1007.900","","7.500","-99.000","-99.000","-99.000","25.900","","22.500",""
"C0R770","2020-05-13 00:00:00","93.000","73.000","2.500","25.100","0.830","1002.000","","0.000","-99.000","-99.000","-99.000","28.600","","24.700",""
"C0F9O0","2020-05-13 00:00:00","175.000","0.000","0.100","26.400","0.790","991.000","","0.000","-99.000","-99.000","-99.000","30.200","","25.600",""
"C0Z230","2020-05-13 00:00:00","31.000","295.000","3.100","22.700","0.840","1012.200","","2.500","-99.000","-99.000","-99.000","26.400","","22.400",""
"C0U900","2020-05-13 00:00:00","63.000","2.000","0.600","21.300","0.990","1009.200","","11.500","-99.000","-99.000","-99.000","25.100","","21.100",""
"C0X200","2020-05-13 00:00:00","61.000","0.000","0.000","23.600","0.990","1004.700","","25.000","-99.000","-99.000","-99.000","30.100","","23.600",""
"C0G640","2020-05-13 00:00:00","17.000","5.000","1.500","24.500","0.900","1012.000","","0.000","-99.000","-99.000","-99.000","27.500","","23.900",""
"C0Z080","2020-05-13 00:00:00","298.000","0.000","0.000","20.400","0.990","981.000","","14.500","-99.000","-99.000","-99.000","32.700","","20.300",""
"C0U770","2020-05-13 00:00:00","5.000","338.000","2.800","22.300","0.990","1014.300","","2.500","-99.000","-99.000","-99.000","27.200","","22.100",""
"C0Z210","2020-05-13 00:00:00","126.000","0.000","0.000","21.700","0.990","1001.700","","30.500","-99.000","-99.000","-99.000","30.100","","20.900",""
"C0V690","2020-05-13 00:00:00","30.000","37.000","1.300","26.600","0.830","1008.800","","1.500","-99.000","-99.000","-99.000","29.000","","26.600",""
"C0A560","2020-05-13 00:00:00","405.000","0.000","0.000","19.900","1.000","969.000","","16.500","-99.000","-99.000","-99.000","24.900","","19.900",""
"C0X190","2020-05-13 00:00:00","10.000","17.000","2.100","25.300","0.850","1010.300","","0.000","-99.000","-99.000","-99.000","30.000","","25.300",""
"C0S950","2020-05-13 00:00:00","415.000","114.000","0.700","21.700","0.990","966.600","","3.500","-99.000","-99.000","-99.000","28.500","","21.700",""
"C0I530","2020-05-13 00:00:00","3014.000","233.000","3.200","7.000","1.000","-99.000","","-99.000","-99.000","-99.000","-99.000","9.200","","7.000",""
"C0M670","2020-05-13 00:00:00","43.000","171.000","0.400","24.000","0.880","1006.300","","0.000","-99.000","-99.000","-99.000","28.100","","23.900",""
"C0Z061","2020-05-13 00:00:00","174.000","0.000","0.000","21.600","0.990","998.200","","4.500","-99.000","-99.000","-99.000","31.800","","21.300",""
"C0M730","2020-05-13 00:00:00","40.000","0.000","0.000","24.600","0.880","1006.500","","0.000","-99.000","-99.000","-99.000","31.200","","24.200",""
"C0U750","2020-05-13 00:00:00","398.000","93.000","3.400","20.400","0.940","969.200","","2.500","-99.000","-99.000","-99.000","21.600","","17.900",""
"C0A650","2020-05-13 00:00:00","287.000","0.000","0.000","17.300","0.970","982.100","","16.000","-99.000","-99.000","-99.000","21.000","","17.200",""
"C0K400","2020-05-13 00:00:00","65.000","0.000","0.000","24.300","0.940","1004.800","","0.000","-99.000","-99.000","-99.000","28.100","","24.300",""
